doctit,length,docs,preamble,amndamaj,amndapct
0.0,16940.0,1.0,0.0,0.0,0.0
0.0,49643.0,1.0,0.0,,
0.0,38271.0,1.0,0.0,0.0,
0.0,34817.0,1.0,0.0,,
0.0,19611.0,1.0,0.0,,
0.0,7988.0,1.0,0.0,0.0,0.0
0.0,6335.0,3.0,1.0,,
0.0,10866.0,1.0,1.0,0.0,0.0
0.0,19891.0,1.0,0.0,0.0,0.0
0.0,39729.0,1.0,0.0,0.0,0.0
0.0,44636.0,1.0,1.0,0.0,0.0
0.0,40076.0,1.0,1.0,0.0,0.0
0.0,18402.0,1.0,0.0,0.0,0.0
0.0,11406.0,1.0,0.0,0.0,0.0
0.0,31836.0,1.0,0.0,0.0,0.0
0.0,43062.0,1.0,0.0,0.0,
0.0,9059.0,1.0,0.0,0.0,0.0
0.0,17608.0,1.0,0.0,0.0,0.0
0.0,40085.0,1.0,0.0,0.0,0.0
0.0,8360.0,1.0,0.0,,
0.0,12488.0,1.0,0.0,0.0,0.0
0.0,13635.0,1.0,1.0,,
0.0,16484.0,1.0,0.0,,
0.0,7896.0,1.0,0.0,0.0,0.0
0.0,7917.0,1.0,0.0,,
0.0,35651.0,1.0,0.0,,
0.0,44120.0,1.0,0.0,1.0,
0.0,15307.0,1.0,0.0,0.0,0.0
0.0,10252.0,1.0,0.0,0.0,
0.0,10192.0,3.0,0.0,,
0.0,32567.0,1.0,0.0,0.0,0.0
0.0,29727.0,1.0,0.0,0.0,0.0
0.0,34801.0,1.0,0.0,0.0,0.0
0.0,49448.0,1.0,0.0,0.0,0.0
0.0,19299.0,1.0,0.0,0.0,0.0
0.0,11557.0,1.0,0.0,0.0,0.0
1.0,279869.0,17.0,0.0,,
0.0,7762.0,1.0,0.0,,
0.0,29911.0,1.0,1.0,0.0,0.0
0.0,7941.0,1.0,0.0,0.0,0.0
0.0,8425.0,1.0,0.0,0.0,0.0
0.0,37344.0,1.0,0.0,0.0,0.0
0.0,11344.0,1.0,0.0,0.0,0.0
0.0,11098.0,1.0,0.0,0.0,0.0
0.0,30696.0,1.0,0.0,0.0,0.0
0.0,55883.0,1.0,0.0,0.0,0.0
0.0,17574.0,1.0,0.0,0.0,
0.0,14327.0,1.0,0.0,0.0,0.0
0.0,2396.0,2.0,0.0,,
0.0,12822.0,1.0,0.0,0.0,0.0
0.0,10369.0,1.0,0.0,0.0,
0.0,8260.0,1.0,0.0,0.0,0.0
0.0,7493.0,1.0,0.0,0.0,0.0
0.0,3794.0,1.0,0.0,0.0,0.0
0.0,7123.0,1.0,0.0,,
